Timestamp,IP Address,Country,Jobs Placed,Job Requested,Demo Request,Response Code,Page Accessed,User  Agent,Session ID,Sales Revenue,Payment Method,Satisfaction Rating
2025-01-27 16:47:04,4.103.54.164,Russia,6,Technical Support Specialist,,200,/event.php,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_6; rv:1.9.4.20) Gecko/2129-08-13 19:10:03 Firefox/3.6.14,2a3ae8d5-f756-4919-803d-6847ce5ab089,3781.76,Credit Card,4
2025-01-29 07:16:22,26.178.41.112,Portugal,4,Digital Transformation Consultant,AI-Powered Virtual Assistant,304,/scheduledemo.php,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; sw-TZ) AppleWebKit/532.29.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6532.29.2",906af80c-05f3-4e2c-8ed0-028f6acf63c9,6305.86,Credit Card,4
2025-02-13 07:40:05,65.198.148.138,Zambia,7,Product Manager,,304,/images/events.jpg,Opera/9.47.(X11; Linux i686; ti-ER) Presto/2.9.160 Version/12.00,ecdbaf0b-2aa2-4eb7-a61c-7ae12bf08184,2009.12,Bank Transfer,3
2025-03-20 03:51:53,199.212.41.250,Zambia,4,Product Manager,,404,/images/events.jpg,"Mozilla/5.0 (iPhone; CPU iPhone OS 3_1_3 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) FxiOS/13.9c3808.0 Mobile/95Q662 Safari/532.1",0f7a2767-6f35-468e-9197-166313af2792,3893.27,Debit Card,4
2025-04-01 08:22:40,24.217.244.7,UK,6,Software Engineer,Promotional Event,304,/scheduledemo.php,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/3.0),aa876ec1-7e53-474c-b0f2-4f73e4360a73,8647.78,PayPal,1
2025-01-16 15:36:06,34.55.245.169,UK,2,Business Analyst,AI-Powered Virtual Assistant,200,/prototype.php,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_1) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/32.0.855.0 Safari/533.0",c70b3a02-9593-4cf7-9536-55e551037c4c,2953.13,Bank Transfer,1
2025-01-05 09:44:03,144.137.100.55,France,4,User  Experience (UX) Designer,,404,/scheduledemo.php,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_1 rv:3.0; ms-MY) AppleWebKit/532.48.1 (KHTML, like Gecko) Version/4.0 Safari/532.48.1",c362c82e-6ab9-4d2c-b80a-53c2d0ca6aef,1935.7,PayPal,1
2025-03-08 01:19:47,122.254.183.1,Netherlands,4,Business Analyst,,200,/prototype.php,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/3.1),1542e674-81d3-4a4d-9ea3-bc0f76a7505c,2739.41,Debit Card,4
2025-03-15 09:08:21,151.87.9.65,Brazil,7,Business Analyst,,304,/prototype.php,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_5 rv:4.0; wo-SN) AppleWebKit/535.25.6 (KHTML, like Gecko) Version/4.0 Safari/535.25.6",b640d257-e474-4e8a-acf9-c294b57697f2,7214.97,Debit Card,5
2025-03-07 08:26:09,132.149.8.73,Portugal,10,Product Manager,,200,/index.html,Opera/9.11.(X11; Linux i686; sd-IN) Presto/2.9.189 Version/10.00,a3bc98c3-ed4e-4953-be56-debe03806f1c,6509.18,Debit Card,1
2025-02-04 23:30:01,179.113.68.138,Zimbabwe,6,Business Analyst,Promotional Event,404,/scheduledemo.php,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.26.4 (KHTML, like Gecko) Version/5.0.2 Safari/532.26.4",1e91327c-6b54-444f-9dc4-7ea195587ded,2158.25,Credit Card,3
2025-01-29 23:13:58,208.109.99.243,UK,6,AI Solutions Architect,AI-Powered Virtual Assistant,304,/prototype.php,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 11.0; Trident/5.0),b735766f-a4bd-4c48-b192-05e4625b7ea0,4101.56,Credit Card,1
2025-01-22 08:55:47,87.254.100.115,China,5,Product Manager,,404,/event.php,Opera/8.50.(Windows NT 5.1; iw-IL) Presto/2.9.168 Version/10.00,92ac0eab-ebc8-46c3-b065-65ceb94db061,7722.68,Credit Card,4
2025-03-19 21:43:13,80.224.83.52,China,3,Technical Support Specialist,Promotional Event,404,/event.php,"Mozilla/5.0 (iPad; CPU iPad OS 13_7 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) FxiOS/13.7h9120.0 Mobile/19L383 Safari/535.1",a1548d93-9917-41d0-99c1-f16231978e07,3371.26,Debit Card,5
2025-02-23 02:53:08,135.68.61.18,Zambia,5,Business Analyst,AI-Powered Virtual Assistant,404,/event.php,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.24.5 (KHTML, like Gecko) Version/5.1 Safari/532.24.5",4301c571-2670-4371-b2df-0e4d4e2f6e1c,5917.86,Bank Transfer,4
2025-03-30 13:31:01,99.251.245.97,Netherlands,2,Marketing Specialist,Scheduled Demo,404,/scheduledemo.php,Opera/8.78.(X11; Linux i686; ka-GE) Presto/2.9.163 Version/11.00,fd8a8692-5070-4b98-9882-e08597a55ef1,5641.5,PayPal,1
2025-03-07 16:15:36,19.18.224.55,Netherlands,4,Technical Support Specialist,AI-Powered Virtual Assistant,304,/images/events.jpg,Mozilla/5.0 (Android 6.0; Mobile; rv:54.0) Gecko/54.0 Firefox/54.0,a0a7d22f-f637-4412-af4a-9fb2bca0cfcc,2598.11,Credit Card,5
2025-03-22 12:37:58,180.79.204.4,Zambia,4,Product Manager,,404,/index.html,"Mozilla/5.0 (iPad; CPU iPad OS 17_4_1 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) FxiOS/13.1h8257.0 Mobile/45W205 Safari/531.0",ab440c1b-038e-40c5-a825-a2883fe7669f,8525.37,Debit Card,5
2025-02-12 05:37:59,126.51.183.186,China,10,User  Experience (UX) Designer,AI-Powered Virtual Assistant,304,/images/events.jpg,Opera/8.36.(Windows NT 5.2; the-NP) Presto/2.9.162 Version/12.00,0059439a-fcc4-4729-9c31-9ea4d932c490,5554.85,Debit Card,1
2025-03-09 14:15:47,31.89.225.207,Zimbabwe,3,Business Analyst,Promotional Event,304,/scheduledemo.php,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/3380-02-14 16:06:23 Firefox/8.0,e2c0e9d5-ecdb-452e-a9a7-894298cffb9c,6184.33,Bank Transfer,1
2025-02-14 18:33:27,20.182.218.181,Zimbabwe,3,AI Research Scientist,Scheduled Demo,304,/event.php,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/4.0),f25b5dfe-7dd8-4a9e-a2cd-6c0989b6f6e2,3037.0,Credit Card,1
2025-02-07 16:34:17,79.159.96.76,Zimbabwe,5,Technical Support Specialist,Scheduled Demo,200,/event.php,Mozilla/5.0 (Android 7.1; Mobile; rv:39.0) Gecko/39.0 Firefox/39.0,57ec8f56-9f88-4ce5-b6d2-c50fd22b6f67,3423.7,Credit Card,5
2025-02-24 07:14:31,72.125.79.99,Brazil,4,Business Analyst,,304,/prototype.php,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/11.3d8707.0 Mobile/75V156 Safari/535.0",c110d067-72cb-464b-8aa7-59aa2e502e62,7095.46,PayPal,1
2025-03-22 17:57:28,159.220.174.158,Portugal,3,Product Manager,Scheduled Demo,304,/scheduledemo.php,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_3 rv:4.0; mhr-RU) AppleWebKit/535.18.6 (KHTML, like Gecko) Version/5.0.2 Safari/535.18.6",b5a700ae-c377-4a1b-9320-b739b7a6273d,2258.42,Debit Card,2
